reps,variety,Yield,id,CC160323,CC160328,CC160329,CC160331,CC160414,CC160419,CC160421,CC160425,CC160504,CC160510,CC160512,CC160516,CC160523,CC160524,CC160525,CC160609,CC160616,CC160622
1,Prunus,52.600000000000000,126,0.222222222222222,2.609252110728070,2.559422750424440,2.767245596868880,23.159927305770100,33.077230892356900,35.330856194165500,38.709148796703800,41.249024199843800,68.101868101868100,56.586700336700300,64.986500436750500,68.607415975837000,66.424388883725200,64.055425448868000,48.564095756449300,50.800077115866500,26.947854976166400
1,Tam Hot-Ty,49.200000000000000,127,0.362393162393162,2.559832223044650,3.384062566053680,3.067101413944410,16.600685192234400,21.464445153061200,24.685745908767400,30.807438794726900,25.706479313036600,35.626535626535600,34.015151515151500,37.984159276304000,44.324486429749500,36.774793196393700,33.423106947697100,30.521262002743400,30.970588865325700,32.562454157138500
1,Shorouq,31.500000000000000,128,0.410902616079989,2.806712962962960,3.802578735996610,3.210324232081910,21.827199757685900,29.337355455002500,33.749703533876100,37.882760558104600,36.959406713505000,49.506649506649500,41.930970149253700,43.777281795018600,47.280594649015600,52.141464146414600,44.960967993754800,40.776140537191900,40.732172311119600,32.066167827757200
1,Mykonos,32.399999999999900,129,0.372649572649573,3.158154453491240,4.085314091680810,3.372676125244610,21.550810237770700,31.746606334841600,35.591746383113200,39.172675344133300,36.440281030444900,46.283296283296200,43.173337856173600,46.175117027790400,48.707238180922300,51.061087240799500,43.723653395784500,36.621089428735700,36.338710022920500,32.504694496605500
1,Torero,38.799999999999900,130,0.499931516230653,2.732308201058200,3.248784612132740,3.179851292052650,21.032106618203800,28.748804209183600,35.128582217099200,38.657645846989400,42.045277127244300,60.331110331110300,50.530303030303000,54.722861907408800,50.894329841698200,56.467401457126800,51.358313817330200,48.148148148148100,51.647428719097200,40.364729401274200
1,Seri,36.000000000000000,131,0.000000000000000,0.561484631422496,1.228070175438590,2.961969770843490,18.964864455550500,25.263073979591800,30.108509877181100,27.470452479194300,33.060109289617400,39.040989040989000,36.632996632996600,39.025064686247000,42.566990954087700,41.423500840650100,42.806401249024100,37.525996725518800,43.165606323501000,37.670601785200100
1,Prunus,57.399999999999900,132,0.000000000000000,0.139027224435591,0.161290322580645,1.010177961969770,18.714978040284700,24.250637755102000,25.970432445252500,26.634048131847500,29.004683840749400,34.731484731484700,38.292910447761100,41.110825811293900,41.737071172555000,43.228924621247300,43.570767807585500,34.375698012061600,38.435833172675200,26.070385871050300
1,DRP-8551,25.800000000000000,133,0.000000000000000,0.016534391534392,0.000000000000000,0.283398342272062,11.743433574419400,14.622528698979500,19.317732627085100,19.418953085494800,25.878220140515200,25.857025857025800,27.420033670033600,29.943222425156800,29.709252971137500,31.696245096207700,28.801717408274700,25.483261038816500,22.584238373712000,13.493261998245300
1,Rio Grande,49.399999999999900,134,0.000000000000000,0.074019245003701,0.344536038892412,1.377376889322280,17.037710131758200,22.733031674208100,25.518053375196200,29.071074070605800,31.180124223602400,34.495534495534500,34.406565656565600,36.382310533488700,32.395056467078600,34.638906961613500,24.703356752537000,27.406079915040400,28.543581175160100,18.380290805539900
1,Mykonos,32.399999999999900,135,0.000000000000000,0.228226005428078,0.357218347072501,1.186399217221130,15.663334847796400,26.116071428571400,26.413155190133600,28.094859069201200,28.973458235753300,33.206583206583200,32.024410774410700,33.877817061367900,36.945297832394600,32.841342132168400,34.180327868852400,27.158281339882200,17.181843497632900,13.586745480433100
1,SV8579TE,53.000000000000000,136,0.000000000000000,0.094580146393618,0.322580645161290,1.028461725987320,15.383159170074200,22.480867346938700,23.144122064985300,24.138418079096000,29.941451990632300,31.285831285831200,30.614478114478100,31.841102199634700,33.631154499151100,32.508873528862300,33.247462919594000,34.576751183680600,31.615363194310500,25.488088070869500
1,Torero,42.000000000000000,137,0.000000000000000,0.346799331172718,0.666383701188455,1.112262311067770,18.105406633348400,23.158482142857100,25.709542256304800,26.631707088678700,39.154361895903500,42.755742755742700,41.586700336700300,46.938775510204000,52.128183707131000,57.024098636278700,52.507763975155200,43.866088310532700,36.857100014994700,21.928843783148400
1,Shorouq,32.000000000000000,138,0.000000000000000,0.240562546262028,0.549566687803847,1.132069722086780,17.480690595184000,25.436698717948700,26.750392464678100,28.616911695851600,40.784543325526900,42.057642057642000,39.440235690235600,42.023346303501900,44.309491677912700,41.163676921646900,42.076502732240400,41.269525200230000,33.264785896364800,28.093866973797800
1,Tam Hot-Ty,51.799999999999900,139,0.000000000000000,0.190145502645503,0.263157894736842,0.488433826317785,13.159497525694700,16.279537456008000,19.962052336153000,20.811873770952300,28.719750195160000,26.482976482976400,27.512626262626200,28.479725058760700,29.055544845018500,27.773956687424400,29.808743169398900,25.549803088632200,21.780948096737500,21.099234435938100
2,DRP-8551,49.600000000000000,140,0.000000000000000,0.012400793650794,0.071866413020503,0.897428083861531,17.174223625836500,24.994021045918300,27.314412206498500,28.130172273119300,38.930523028883600,36.104286104286100,34.810606060606000,37.907964742317100,32.471411503669500,37.453294915884300,40.870413739266100,37.448559670781800,34.931345457661200,31.725417439703100
2,Mykonos,65.200000000000000,141,0.000000000000000,0.006168270416975,0.145846544071021,1.138164310092630,18.275783734666000,28.525641025641000,30.886970172684400,30.997752598557900,38.926619828259100,39.739089739089700,40.391414141414100,47.520195935135900,38.853544116702000,46.764431160097100,44.320843091334800,37.669808398601700,34.080928817770900,28.897901655376700
2,Prunus,32.200000000000000,142,0.000000000000000,0.004112180277983,0.142190152801358,0.784678205753291,11.793881568983700,17.651080945198500,17.649616570479800,18.700608434156200,24.852484472049600,25.201825201825200,26.153198653198600,33.731655770408200,31.662489557226300,36.021935124082100,34.035909445745500,29.934952874020900,24.413598097808600,17.395118724022300
